cid	author	title	year
14270822170481133370	TM Beissinger, L Wang, K Crosby, A Durvasula, MB Hufford, ...	Recent demography drives changes in linked selection across the maize genome	2016
7814826500218882810	RK Dawe, EG Lowry, JI Gent, MC Stitzer, KW Swentowsky, DM Higgins, ...	A kinesin-14 motor activates neocentromeres to promote meiotic drive in maize	2018
8452519309966999214	SN Anderson, MC Stitzer, AB Brohammer, P Zhou, JM Noshay, ...	Transposable elements contribute to dynamic genome content in maize	2019
6473644606884467791	Z Fang, T Pyhäjärvi, AL Weber, RK Dawe, JC Glaubitz, JJS González, ...	Megabase-scale inversion polymorphism in the wild ancestor of maize	2012
3095269849835314095	J Ross-Ibarra	The evolution of recombination under domestication: a test of two hypotheses	2004
987817177097090596,14403816878568058683	G Xu, J Lyu, Q Li, H Liu, D Wang, M Zhang, NM Springer, J Ross-Ibarra, ...	Evolutionary and functional genomics of DNA methylation in maize domestication and improvement	2020
16268285809405443178,469567953459816391	M Khaipho-Burch, M Cooper, J Crossa, N de Leon, J Holland, R Lewis, ...	Genetic modification can improve crop yields—but stop overselling it	2023
15151328051935459123	S Lockton, J Ross-Ibarra, BS Gaut	Demography and weak selection drive patterns of transposable element diversity in natural populations of Arabidopsis lyrata	2008
7191906505151277407,14787094829126316446,1364901072355254494,12822792861799271249	L Chen, J Luo, M Jin, N Yang, X Liu, Y Peng, W Li, A Phillips, B Cameron, ...	Genome sequencing reveals evidence of adaptive variation in the genus Zea	2022
18217003468169681800	S Mezmouk, J Ross-Ibarra	The pattern and distribution of deleterious mutations in maize	2014
17241763016461383750	MB Hufford, P Bilinski, T Pyhäjärvi, J Ross-Ibarra	Teosinte as a model system for population and ecological genomics	2012
17559374760333968488	KD Whitney, EJ Baack, JL Hamrick, MJW Godt, BC Barringer, MD Bennett, ...	A role for nonadaptive processes in plant genome size evolution?	2010
18111976045562432877	C Li, H Guan, X Jing, Y Li, B Wang, Y Li, X Liu, D Zhang, C Liu, X Xie, ...	Genomic insights into historical improvement of heterotic groups during modern hybrid maize breeding	2022
11265103186217917709,1423804503041853700	R Lozano, E Gazave, JPR Dos Santos, MG Stetter, R Valluru, N Bandillo, ...	Comparative evolutionary genetics of deleterious load in sorghum and maize	2021
7118994421153889601	S Renny-Byfield, E Rodgers-Melnick, J Ross-Ibarra	Gene fractionation and function in the ancient subgenomes of maize	2017
10471445648121255184	BS Gaut, J Ross-Ibarra	Selection on major components of angiosperm genomes	2008
6213467718649794463	E Calfee, D Gates, A Lorant, MT Perkins, G Coop, J Ross-Ibarra	Selective sorting of ancestral introgression in maize and teosinte along an elevational cline	2021
2741664858361885827	S Takuno, P Ralph, K Swarts, RJ Elshire, JC Glaubitz, ES Buckler, ...	Independent molecular basis of convergent highland adaptation in maize	2015
8720581075310602102	MG Stetter, DJ Gates, W Mei, J Ross-Ibarra	How to make a domesticate	2017
17540712414676727046	D Velasco, J Hough, M Aradhya, J Ross-Ibarra	Evolutionary genomics of peach and almond domestication	2016
9469285840365544650	W Mei, MG Stetter, DJ Gates, M Stitzer, J Ross-Ibarra	Adaptation in plant genomes: bigger is different	2018
