Multiple domestications do not appear monophyletic	25
Environmental data provide marginal benefit for predicting climate adaptation	24
Extensive genome evolution distinguishes maize within a stable tribe of grasses	24
Allele specific expression analysis identifies regulatory variation associated with stress-related genes in the Mexican highland maize landrace Palomero Toluqueño	23
Diversity and evolution of centromere repeats in the maize genome	23
Natural variation in teosinte at the domestication locus teosinte branched1 (tb1)	22
Reproductive biology of Macleania rupestris (Ericaceae), a pollen-limited Neotropical cloud-forest species in Costa Rica	22
Modeling allelic diversity of multiparent mapping populations affects detection of quantitative trait loci	21
The population genetics of convergent adaptation in maize and teosinte is not locally restricted	19
Domestication reshaped the genetic basis of inbreeding depression in a maize landrace compared to its wild relative, teosinte	19
A B73× Palomero Toluqueño mapping population reveals local adaptation in Mexican highland maize	18
Genomics of long-and short-term adaptation in maize and teosintes	18
Allele-specific expression reveals multiple paths to highland adaptation in maize	17
Selective loss of diversity in doubled-haploid lines from European maize landraces	16
The genomic signature of wild-to-crop introgression during the domestication of scarlet runner bean (Phaseolus coccineus L.)	15
Hybrid decay: a transgenerational epigenetic decline in vigor and viability triggered in backcross populations of teosinte with maize	15
Reply to Brush et al.: Wake-up call for crop conservation science	14
A happy accident: a novel turfgrass reference genome	13
A unified VCF dataset from nearly 1,500 diverse maize accessions and resources to explore the genomic landscape of maize	12
Controlling for variable transposition rate with an age-adjusted site frequency spectrum	12
Population genetics and ethnobotany of cultivated Diospyros riojae Gómez Pompa (Ebenaceae), an endangered fruit crop from Mexico	12
Genomic abundance is not predictive of tandem repeat localization in grass genomes	10
Conflict over fertilization underlies the transient evolution of reinforcement	9
Evolution and adaptation in the maize genome	8
Teosinte populations exhibit weak local adaptation to their rhizosphere biota despite strong effects of biota source on teosinte fitness and traits	6
An ancient origin of the naked grains of maize	5
Maize diversity and climate change	4
Plant domestication revisited: Genomic insights into origins, mechanisms, and convergent evolution	3
Recombination, genetic diversity, and plant domestication	3
The incomplete dominance of gene expression controlled by Trans-eQTL hotspots contributes to heterosis in maize	2
Genome-wide selection on transposable elements in maize	2
The MexMAGIC population reveals the genetic architecture of clinal trait variation in Mexican native maize	1
HERITABILITY AND QTL MAPPING OF AERIAL ROOTS AND OTHER YIELD COMPONENT TRAITS WITH IMPLICATIONS FOR N2 FIXATION IN ZEA MAYS	1
Molecular evolution of a reproductive barrier in maize and related species	1
Genetic Data Analysis II. Methods for Discrete Population Genentic Data	1
Bias in diversity estimators and neutrality tests induced by neutral polymorphic structural variants	0
Maize genetic diversity is largely unstructured by human ethnolinguistic diversity in its center of origin	0
The origins and adaptive consequences of polyploidy in a dominant prairie grass	0
